"epoch","AUGMENTED_TRAINING_fine-tune-both_rw1v37nv - _step","AUGMENTED_TRAINING_fine-tune-both_rw1v37nv - _step__MIN","AUGMENTED_TRAINING_fine-tune-both_rw1v37nv - _step__MAX","AUGMENTED_TRAINING_fine-tune-both_rw1v37nv - validation_rouge.rougeL","AUGMENTED_TRAINING_fine-tune-both_rw1v37nv - validation_rouge.rougeL__MIN","AUGMENTED_TRAINING_fine-tune-both_rw1v37nv - validation_rouge.rougeL__MAX","AUGMENTED_TRAINING_fine-tune-both_rw1v37nv - validation_bleu1.bleu","AUGMENTED_TRAINING_fine-tune-both_rw1v37nv - validation_bleu1.bleu__MIN","AUGMENTED_TRAINING_fine-tune-both_rw1v37nv - validation_bleu1.bleu__MAX","AUGMENTED_TRAINING_fine-tune-both_rw1v37nv - validation_bleu2.bleu","AUGMENTED_TRAINING_fine-tune-both_rw1v37nv - validation_bleu2.bleu__MIN","AUGMENTED_TRAINING_fine-tune-both_rw1v37nv - validation_bleu2.bleu__MAX","AUGMENTED_TRAINING_fine-tune-both_rw1v37nv - validation_meteor.meteor","AUGMENTED_TRAINING_fine-tune-both_rw1v37nv - validation_meteor.meteor__MIN","AUGMENTED_TRAINING_fine-tune-both_rw1v37nv - validation_meteor.meteor__MAX"
"1","1","1","1","0.06902067410773309","0.06902067410773309","0.06902067410773309","0.03744281922403569","0.03744281922403569","0.03744281922403569","0.011708154319698079","0.011708154319698079","0.011708154319698079","0.07668192275476936","0.07668192275476936","0.07668192275476936"
"2","2","2","2","0.07211074841789936","0.07211074841789936","0.07211074841789936","0.03732862766390661","0.03732862766390661","0.03732862766390661","0.0122513438741196","0.0122513438741196","0.0122513438741196","0.07872367252844943","0.07872367252844943","0.07872367252844943"
"3","3","3","3","0.0715481199191135","0.0715481199191135","0.0715481199191135","0.0387674231717793","0.0387674231717793","0.0387674231717793","0.014117914456799349","0.014117914456799349","0.014117914456799349","0.08305539328739786","0.08305539328739786","0.08305539328739786"
"4","4","4","4","0.07146060070272073","0.07146060070272073","0.07146060070272073","0.04028312973135471","0.04028312973135471","0.04028312973135471","0.014087238883331639","0.014087238883331639","0.014087238883331639","0.08964133576959908","0.08964133576959908","0.08964133576959908"
"5","5","5","5","0.07888434648968948","0.07888434648968948","0.07888434648968948","0.04519843972509442","0.04519843972509442","0.04519843972509442","0.015689430804590294","0.015689430804590294","0.015689430804590294","0.09178926139212637","0.09178926139212637","0.09178926139212637"
"6","6","6","6","0.07704130898878914","0.07704130898878914","0.07704130898878914","0.04239133508667741","0.04239133508667741","0.04239133508667741","0.015085183296381246","0.015085183296381246","0.015085183296381246","0.09187643579550166","0.09187643579550166","0.09187643579550166"
"7","7","7","7","0.07340173170679615","0.07340173170679615","0.07340173170679615","0.041532683005917795","0.041532683005917795","0.041532683005917795","0.01409743429631298","0.01409743429631298","0.01409743429631298","0.08958009280357987","0.08958009280357987","0.08958009280357987"
"8","8","8","8","0.07744131032420284","0.07744131032420284","0.07744131032420284","0.04266025551424337","0.04266025551424337","0.04266025551424337","0.015246884249707967","0.015246884249707967","0.015246884249707967","0.08919494075394101","0.08919494075394101","0.08919494075394101"
"9","9","9","9","0.0756652725466738","0.0756652725466738","0.0756652725466738","0.04234805608486676","0.04234805608486676","0.04234805608486676","0.014787677810082396","0.014787677810082396","0.014787677810082396","0.09095543406725175","0.09095543406725175","0.09095543406725175"
"10","10","10","10","0.07149581184663675","0.07149581184663675","0.07149581184663675","0.04241935483870968","0.04241935483870968","0.04241935483870968","0.015595276345489769","0.015595276345489769","0.015595276345489769","0.09438222777407983","0.09438222777407983","0.09438222777407983"